cap.english,cap.universal,display_scores.english.astroturf,display_scores.english.fake_follower,display_scores.english.financial,display_scores.english.other,display_scores.english.overall,display_scores.english.self_declared,display_scores.english.spammer,display_scores.universal.astroturf,display_scores.universal.fake_follower,display_scores.universal.financial,display_scores.universal.other,display_scores.universal.overall,display_scores.universal.self_declared,display_scores.universal.spammer,raw_scores.english.astroturf,raw_scores.english.fake_follower,raw_scores.english.financial,raw_scores.english.other,raw_scores.english.overall,raw_scores.english.self_declared,raw_scores.english.spammer,raw_scores.universal.astroturf,raw_scores.universal.fake_follower,raw_scores.universal.financial,raw_scores.universal.other,raw_scores.universal.overall,raw_scores.universal.self_declared,raw_scores.universal.spammer,user.majority_lang,user.user_data.id_str,user.user_data.screen_name
0.8457543526336647,0.8053088638387352,1.4,2.4,1.3,4.4,4.4,0.4,0.8,1.4,2.8,1.8,3.2,3.2,0.6,0.6,0.28,0.49,0.26,0.87,0.87,0.07,0.15,0.27,0.57,0.35,0.65,0.65,0.11,0.12,ar,1493617682603823108,bwsy78783394
0.8339181685112829,0.8193478253485871,1.6,2.0,0.4,4.2,4.2,0.5,0.8,1.8,1.4,0.4,4.0,4.0,0.4,1.2,0.32,0.41,0.07,0.85,0.85,0.1,0.16,0.35,0.28,0.09,0.8,0.8,0.07,0.24,ar,1284016212,1Duaa0
0.8457543526336647,0.8053088638387352,1.4,2.5,1.4,4.4,4.4,0.4,0.8,1.4,2.8,1.8,3.2,3.2,0.6,0.6,0.28,0.5,0.27,0.87,0.87,0.07,0.15,0.27,0.57,0.35,0.65,0.65,0.11,0.11,ar,1493617682603823108,bwsy78783394
0.7983123643488195,0.8023863559365568,1.3,1.6,0.9,3.6,3.6,0.5,0.4,1.2,1.0,0.7,3.0,2.0,0.6,0.6,0.26,0.31,0.18,0.71,0.71,0.1,0.07,0.23,0.2,0.14,0.61,0.39,0.11,0.13,ar,716921694351454208,ei0ii
0.7967206940193189,0.7982287282125168,1.4,1.4,0.6,3.3,3.3,0.4,0.2,0.8,1.4,0.2,2.0,1.8,0.0,0.0,0.28,0.28,0.11,0.66,0.66,0.08,0.05,0.16,0.29,0.05,0.39,0.35,0.0,0.0,ar,774667758,KH_KDK
0.8912318555080615,0.8052109974132647,0.5,3.4,0.6,4.6,4.6,0.9,1.6,0.6,3.1,0.6,2.8,3.1,0.4,1.6,0.1,0.69,0.12,0.93,0.93,0.18,0.31,0.13,0.62,0.12,0.55,0.62,0.08,0.33,ar,1523393057768579074,ali58624552
0.8287549877594508,0.8421031637823202,0.2,1.4,0.0,4.2,4.2,1.8,0.3,0.2,0.6,0.1,4.3,4.3,1.8,0.0,0.03,0.28,0.0,0.84,0.84,0.37,0.06,0.03,0.13,0.02,0.86,0.86,0.37,0.01,ar,2547827340,AlkhaleejOnline
0.8008799175144752,0.792436790569533,1.4,1.1,0.6,3.7,3.7,0.2,0.1,1.0,1.0,0.3,3.1,1.6,0.0,0.1,0.29,0.22,0.11,0.74,0.74,0.03,0.02,0.21,0.19,0.06,0.62,0.32,0.0,0.02,ar,3268561616,KhaledAlbloosh
0.8595061719862279,0.8082278383974655,0.8,2.5,1.7,4.4,4.4,0.6,1.4,1.2,2.2,2.3,3.6,3.6,0.6,1.2,0.16,0.49333333333333335,0.34,0.89,0.89,0.12,0.27,0.24,0.45,0.47,0.73,0.73,0.13,0.23,ar,1519819186557571075,brafw13
0.8100783815308749,0.6608500314332488,1.0,1.2,0.1,4.0,4.0,0.0,0.1,0.6,0.2,0.0,1.6,0.8,0.0,0.0,0.19,0.23,0.02,0.79,0.79,0.01,0.02,0.12,0.04,0.0,0.31,0.17,0.0,0.0,ar,427615532,albhire
